Кафедра,Уровень обучения,Форма обучениия,Шифр Направления,Направление подготовки,Шифр специальности,Название профиля или специальности,Русский,Английский,Ссылка на страницу на сайте admission.rudn.ru,Бюджетные места,"Продолжительность обучения, лет","Стоимость обучения по контракту(1 год)","Стоимость обучения по контракту(2 год)","Стоимость обучения по контракту(3 год)","Стоимость обучения по контракту(4 год)","Стоимость обучения по контракту(5 год)","Обязательный предмет 1 (название)","Обязательный предмет 1 (баллы бюджет или контракт)","Обязательный предмет 1(доп. баллы только для контракта)","Обязательный предмет 2 (название)","Обязательный предмет 2 (баллы бюджет или контракт)","Обязательный предмет 2 (доп. баллы только для контракта)","Обязательный предмет 3 (название)","Обязательный предмет 3 (баллы бюджет или контракт)","Обязательный предмет 3 (доп. баллы только для контракта)","Обязательный предмет 4 (название)","Обязательный предмет 4 (баллы бюджет или контракт)","Обязательный предмет 4 (доп. баллы только для контракта)","Дополнительный предмет 1 (название)","Дополнительный предмет 1  (баллы бюджет или контракт)","Дополнительный предмет 1 (доп. баллы только для контракта)","Дополнительный предмет 2 (название)","Дополнительный предмет 2 (баллы бюджет или контракт)","Дополнительный предмет 2 (доп. баллы только для контракта)","Дополнительный предмет 3 (название)","Дополнительный предмет 3 (баллы бюджет или контракт)","Дополнительный предмет 3 (доп. баллы только для контракта)","Дополнительный предмет 4 (название)","Дополнительный предмет 4 (баллы бюджет или контракт)","Дополнительный предмет 4 (доп. баллы только для контракта)","Дополнительный предмет 5 (название)","Дополнительный предмет 5 (баллы бюджет или контракт)","Дополнительный предмет 5 (доп. баллы только для контракта)"
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.10,"Геология, поиски и разведка твердых полезных ископаемых, минерагения",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/postgraduate/directions/programs/1_6_10_geologiya_poiski_i_razvedka_tverdykh_poleznykh_iskopaemykh_minerageniya_ochnaya2641125/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.11,"Геология, поиски, разведка и эксплуатация нефтяных и газовых месторождений",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/postgraduate/directions/programs/1_6_11_geologiya_poiski_razvedka_i_ekspluatatsiya_neftyanykh_i_gazovykh_mestorozhdeniy_ochnaya2641043/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.10,"Геология, поиски, разведка и эксплуатация нефтяных и газовых месторождений",ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/1_6_11_geologiya_poiski_razvedka_i_ekspluatatsiya_neftyanykh_i_gazovykh_mestorozhdeniy_ochnaya2641043/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.11,"Геология, поиски и разведка твердых полезных ископаемых, минерагения",ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/1_6_10_geologiya_poiski_i_razvedka_tverdykh_poleznykh_iskopaemykh_minerageniya_ochnaya2641125/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Аспирантура,очная,2.1,Строительство и архитектура,2.1.12,Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_1_12_arkhitektura_zdaniy_i_sooruzheniy_tvorcheskie_kontseptsii_arkhitekturnoy_deyatelnosti_ochnaya2641119/,2,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Аспирантура,очная,2.1,Строительство и архитектура,2.1,Строительство и архитектура,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_1_1_stroitelnye_konstruktsii_zdaniya_i_sooruzheniya_ochnaya2641105/,4,4,210000,273000,327600,357400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КИМОП,Аспирантура,очная,2.3,Информационные технологии и телекоммуникации,2.3.4,Управление в организационных системах,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_3_4_upravlenie_v_organizatsionnykh_sistemakh_ochnaya2641033/,1,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Аспирантура,очная,2.3,Информационные технологии и телекоммуникации,2.3.1,"Системный анализ, управление и обработка информации",ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_3_1_sistemnyy_analiz_upravlenie_i_obrabotka_informatsii_ochnaya2641114/,1,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КЭШ,Аспирантура,очная,2.4,Энергетика и электротехника,2.4.7,Турбомашины и поршневые двигатели,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_4_7_turbomashiny_i_porshnevye_dvigateli_ochnaya2641081/,2,4,210000,273000,327600,357400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Аспирантура,очная,2.5,Машиностроение,2.5.16,"Динамика, баллистика и управление движением летательных аппаратов",ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_5_16_dinamika_ballistika_i_upravlenie_dvizheniem_letatelnykh_apparatov_ochnaya2641084/,3,4,200000,260000,338000,350800,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
